i, c0,  c1,  c2,  c3
0, 1.037450, 1.007439, 1.007241, 1.007054
1, 1.037681, 1.005673, 1.006552, 1.013142
2, 1.037558, 1.005310, 1.007449, 1.009011
3, 0.994343, 1.006835, 1.005934, 1.006098
4, 1.008983, 1.006669, 1.007383, 1.008992
5, 1.037424, 1.006970, 1.006565, 1.007718
6, 1.038541, 1.008495, 1.006754, 1.008101
7, 1.038103, 1.006877, 1.006708, 1.006660
8, 1.038221, 1.007469, 1.005760, 1.005299
9, 1.038327, 1.006837, 1.007193, 1.007436
10, 1.038945, 1.007907, 1.006644, 1.006826
11, 1.038381, 1.008010, 1.006827, 1.008517
12, 1.038347, 1.008883, 1.006733, 1.009411
13, 1.038500, 1.007680, 1.013152, 1.008554
14, 1.038626, 1.005419, 1.011110, 1.010622
15, 1.039460, 1.006607, 1.006945, 1.010716
16, 1.039095, 1.007280, 1.010459, 1.008996
17, 1.038443, 1.013628, 1.006614, 1.011514
18, 1.038594, 1.008768, 1.008963, 1.006674
19, 1.037622, 1.008200, 1.031969, 1.038821
20, 1.038992, 1.006233, 1.006081, 1.011888
21, 1.038729, 1.008825, 1.049145, 1.047800
22, 1.038685, 1.008812, 1.052134, 1.051066
23, 1.038994, 1.007736, 1.007497, 1.007842
24, 1.038978, 1.006302, 1.036551, 1.034382
25, 1.038569, 1.005874, 1.007450, 1.007726
26, 1.039158, 1.012350, 1.032320, 1.030160
27, 1.039701, 1.006431, 1.005741, 1.006007
28, 1.039998, 1.008218, 1.027161, 1.026846
29, 1.038490, 1.006924, 1.007160, 1.006629
30, 1.038514, 1.007468, 1.008370, 1.008815
31, 1.039403, 1.010856, 1.008032, 1.007052
32, 1.039469, 1.010427, 1.007750, 1.012205
33, 1.040257, 1.011053, 1.007636, 1.006511
34, 1.039325, 1.006750, 1.045227, 1.037038
35, 1.038302, 1.008330, 1.044530, 1.039321
36, 1.040553, 1.006153, 1.007732, 1.008964
37, 1.039399, 1.009222, 1.008279, 1.007760
38, 1.038818, 1.011477, 1.008003, 1.007678
39, 1.040062, 1.006811, 1.009121, 1.009406
40, 1.039143, 1.007520, 1.007840, 1.008162
41, 1.039514, 1.011377, 1.010356, 1.009228
42, 1.039131, 1.014260, 1.008691, 1.008488
43, 1.038855, 1.008272, 1.009089, 1.008352
44, 1.038667, 1.008063, 1.009758, 1.009790
45, 1.038871, 1.012277, 1.007921, 1.008819
46, 1.038831, 1.006863, 1.008877, 1.008303
47, 1.038718, 1.009298, 1.007845, 1.008257
48, 1.038688, 1.007843, 1.008161, 1.007973
49, 1.038865, 1.006815, 1.043161, 1.042338
