Iteration,Independent Client (work),Client (work) + Server (no work),Client (no work) + Server (work),Client (no work) + Elevated Server (work),Client (no work) + Server (no work)
1,146.365,176.535,272.315,212.16,129.235
2,243.09500000000003,167.33499999999998,286.805,195.155,132.01
3,221.26999999999998,182.73000000000002,266.265,195.655,131.065
4,219.765,175.15,271.68,193.7,110.34499999999998
5,218.33,167.315,270.02000000000004,173.805,133.005
6,217.795,176.3,261.455,177.93,137.085
7,217.345,177.1,234.165,196.075,132.435
8,217.92,180.465,224.67000000000002,194.76,133.53
9,216.605,166.96499999999997,230.53,196.805,121.83
10,222.535,147.77,225.45,196.57000000000002,135.115
11,196.275,147.645,229.95000000000002,167.305,132.3
12,221.81,150.495,227.385,151.57999999999998,126.63000000000001
13,222.635,149.315,234.405,158.22,97.895
14,217.875,152.28,233.865,157.20499999999998,116.08500000000001
15,225.37,151.53500000000003,233.89000000000001,167.30999999999997,113.83000000000001
16,197.10999999999999,144.475,226.34499999999997,163.46499999999997,108.55999999999999
17,221.015,147.245,230.32000000000002,166.31500000000003,116.62
18,219.79,147.3,231.18,166.78,112.675
19,217.525,147.11999999999998,229.26999999999998,164.69,105.735
20,218.76500000000001,147.425,234.09,169.995,113.05999999999999
21,284.875,149.275,215.41500000000002,166.66500000000002,116.86
22,198.42999999999998,149.975,230.33,158.225,116.46
23,222.275,147.235,224.735,167.66500000000002,114.44500000000001
24,222.63,147.30999999999997,249.14999999999998,165.045,94.96
25,218.63,144.98499999999999,229.09,157.0,116.505
26,218.655,147.095,213.17,177.645,110.055
27,223.94500000000002,150.60999999999999,225.46,164.45499999999998,109.68
28,197.305,139.335,234.10000000000002,170.5,116.305
29,221.64,150.755,233.815,157.105,110.16
30,220.75500000000002,147.275,219.675,167.475,98.125
31,216.82500000000002,149.42,209.97,165.49,97.4
32,219.02,145.46,221.55500000000004,162.82999999999998,117.30499999999999
33,217.615,148.0,229.915,164.635,112.865
34,217.56,148.095,214.76999999999998,170.23000000000002,116.55000000000001
35,216.77999999999997,152.13,212.785,166.69,105.58
36,217.275,147.195,233.76,164.95999999999998,97.57000000000001
37,216.57999999999998,150.425,233.44500000000002,169.74499999999998,103.505
38,216.56499999999997,148.21,233.5,170.23000000000002,105.895
39,216.305,139.20999999999998,234.05499999999998,162.805,111.95
40,216.83500000000004,150.39000000000001,230.795,166.775,109.94500000000001
41,217.85999999999999,147.2,224.725,170.10000000000002,112.84
42,198.42999999999998,146.165,226.4,167.655,112.865
43,266.65500000000003,149.71,234.17000000000002,169.385,114.13
44,199.39499999999998,147.235,230.285,158.075,114.705
45,222.55,140.19500000000002,228.915,148.91500000000002,97.33500000000001
46,218.40499999999997,144.425,212.67000000000002,164.97,113.83000000000001
47,217.49,140.315,233.555,171.07500000000002,107.975
48,217.23499999999999,150.57999999999998,231.54999999999998,165.09,94.33
49,216.76500000000001,144.29500000000002,231.025,167.285,111.94000000000001
50,217.015,149.24,220.95000000000002,151.375,112.285
