Iteration,Independent Client,Independent Client Elevated,Client + Server,Client + Server Elevated
1,0.00466066,0.0042325,0.00496102,0.00483004
2,0.00506502,0.00416596,0.00504052,0.00478768
3,0.00494428,0.00422222,0.00509958,0.00487294
4,0.00501832,0.0041966,0.00542376,0.00488214
5,0.0050090199999999994,0.0041960999999999995,0.00540082,0.00474794
6,0.005050860000000001,0.0042881,0.0053741399999999995,0.00473298
7,0.0049884000000000005,0.00420314,0.00535274,0.004903
8,0.00497638,0.00423136,0.00546392,0.0046565
9,0.00472616,0.004197139999999999,0.00545876,0.00467938
10,0.00503986,0.00423234,0.0052788,0.0048223
11,0.00503466,0.00419416,0.0053814200000000005,0.00485858
12,0.00502424,0.00422016,0.00541914,0.00470434
13,0.00502504,0.0042725,0.005005079999999999,0.0047998
14,0.0049507,0.00421684,0.004906440000000001,0.0046700399999999994
15,0.00502128,0.0042247000000000005,0.00496832,0.00489194
16,0.00496686,0.0042223,0.0054656800000000005,0.00476494
17,0.0050271,0.0042361,0.00514854,0.00480474
18,0.00503636,0.00420716,0.00536492,0.004823839999999999
19,0.004647,0.0042428,0.005559659999999999,0.00475118
20,0.00497902,0.0041864400000000005,0.00539768,0.0046608
21,0.00496362,0.00419364,0.0054391,0.004668
22,0.00509422,0.00421954,0.005439,0.00482828
23,0.00508898,0.00418346,0.0053111600000000005,0.00485162
24,0.00496876,0.0041762,0.005898759999999999,0.00471706
25,0.0051059600000000005,0.00421098,0.0058763,0.00462448
26,0.00502366,0.00424282,0.005876019999999999,0.00472404
27,0.00499658,0.00423766,0.00595506,0.00469512
28,0.0050000800000000005,0.00417892,0.005943319999999999,0.00466582
29,0.00466588,0.00419222,0.00592798,0.0047005
30,0.0049486999999999995,0.00418084,0.0059387,0.00466246
31,0.00500632,0.00426734,0.00590684,0.00473756
32,0.00504922,0.00423682,0.00590052,0.00468852
33,0.00499462,0.00417806,0.00591908,0.00469934
34,0.00505396,0.004174359999999999,0.00533008,0.00468056
35,0.00499764,0.00419648,0.005810699999999999,0.00466128
36,0.00511952,0.00417562,0.005857299999999999,0.004659460000000001
37,0.00495298,0.00413842,0.00582604,0.0047265
38,0.0050408399999999996,0.004289240000000001,0.005748919999999999,0.00473492
39,0.00475292,0.004217139999999999,0.00583078,0.00484542
40,0.005008,0.0041784199999999995,0.00589594,0.00475318
41,0.0049774,0.0041917,0.0057608,0.00472068
42,0.005110099999999999,0.0041597,0.005873699999999999,0.00474878
43,0.0050719599999999995,0.00417744,0.00578452,0.00471622
44,0.0049934,0.00424196,0.00595124,0.0047494799999999995
45,0.00498542,0.00418722,0.0059789199999999995,0.00470146
46,0.00510304,0.0042153,0.00570854,0.00472908
47,0.0050106,0.00418486,0.00591264,0.004742199999999999
48,0.005002919999999999,0.00429018,0.005944540000000001,0.00470586
49,0.00485208,0.00417958,0.00585662,0.00473002
50,0.005058399999999999,0.00416838,0.00581346,0.00468446
