"system","rps"
linux_vanila,167392.03
linux_vanila,165820.98
linux_vanila,166777.86
linux_vanila,164031.23
linux_vanila,165595.81
linux_server,138844.0
linux_server,161428.0
linux_server,157027.0
linux_server,162765.0
linux_server,136382.0
sym_elevated_nosc,166632.0
sym_elevated_nosc,165454.2
sym_elevated_nosc,165120.0
sym_elevated_nosc,166720.0
sym_elevated_nosc,165123.5
sym_elevated_sc,164544.0
sym_elevated_sc,168051.8
sym_elevated_sc,165126.0
sym_elevated_sc,167629.5
sym_elevated_sc,166370.5
